Tha Billet!	http://charleysmuckles.blogspot.com/	2008-05-04T18:04:00.000-07:00
Righta&#39;s Blokk	http://charleysmuckles.blogspot.com/2008/05/rightas-blokk.html	2007-12-04T01:19:00.000-08:00
K.L.I.T.Z.  - B -  R.E.D.D.Y.?	http://charleysmuckles.blogspot.com/2007/12/klitz-b-reddy.html	2007-06-19T17:17:00.000-07:00
Pumpjack Clitty	http://charleysmuckles.blogspot.com/2007/06/pumpjack-clitty.html	2007-01-31T15:19:00.000-08:00
Pizza pie drivin&#39; jabbah killz it	http://charleysmuckles.blogspot.com/2007/01/pizza-pie-drivin-jabbah-killz-it.html	2006-10-04T18:24:00.000-07:00
da nhoo jabbah	http://charleysmuckles.blogspot.com/2006/10/da-nhoo-jabbah.html	2006-08-22T00:04:00.000-07:00
lozt m&#39;ah jobbz	http://charleysmuckles.blogspot.com/2006/08/lozt-mah-jobbz.html	2006-06-28T17:45:00.000-07:00
they Chinezed my azz!	http://charleysmuckles.blogspot.com/2006/06/they-chinezed-my-azz.html	2006-05-10T21:45:00.000-07:00
Molly iz codly 2 my pantzfront...4 now	http://charleysmuckles.blogspot.com/2006/05/molly-iz-codly-2-my-pantzfront4-now.html	2006-01-26T22:46:00.000-08:00
i B moless&#39;ted by mah Thought$$	http://charleysmuckles.blogspot.com/2006/01/i-b-molessted-by-mah-thought.html	2005-12-01T01:13:00.000-08:00
beet&#39;m N join&#39;M	http://charleysmuckles.blogspot.com/2005/12/beetm-n-joinm.html	2005-10-21T20:11:00.000-07:00
SG server mus&#39; be BR0k3N	http://charleysmuckles.blogspot.com/2005/10/sg-server-mus-be-br0k3n.html	2005-10-07T23:22:00.000-07:00
I B a SuicideGirls model	http://charleysmuckles.blogspot.com/2005/10/i-b-suicidegirls-model.html	2005-09-22T20:43:00.000-07:00
Anchovies ain&#39;t crappy	http://charleysmuckles.blogspot.com/2005/09/anchovies-aint-crappy.html	2005-08-26T23:54:00.000-07:00
Onstad be blowed by Dudez	http://charleysmuckles.blogspot.com/2005/08/onstad-be-blowed-by-dudez.html	2005-07-11T03:42:00.000-07:00
curpeter	http://charleysmuckles.blogspot.com/2005/07/curpeter.html	2005-07-01T22:24:00.000-07:00
Mad banked on that last poemzz, all!	http://charleysmuckles.blogspot.com/2005/07/mad-banked-on-that-last-poemzz-all.html	2005-06-18T05:47:00.000-07:00
Third tyyme&#39;z a charmsicle	http://charleysmuckles.blogspot.com/2005/06/third-tyymez-charmsicle.html	2005-06-02T19:24:00.000-07:00
I be tha voice of new youth, alls!	http://charleysmuckles.blogspot.com/2005/06/i-be-tha-voice-of-new-youth-alls.html	2005-05-26T10:44:00.000-07:00
Hella poems came outta my clam!	http://charleysmuckles.blogspot.com/2005/05/hella-poems-came-outta-my-clam.html	2005-05-11T00:34:00.000-07:00
I dig on me gewordstra minner.	http://charleysmuckles.blogspot.com/2005/05/i-dig-on-me-gewordstra-minner.html	2005-04-28T22:50:00.000-07:00
summah&#39;z comin	http://charleysmuckles.blogspot.com/2005/04/summahz-comin.html	2005-04-13T22:45:00.000-07:00
dang uncle Ray tryin&#39; to muscle my sideline!	http://charleysmuckles.blogspot.com/2005/04/dang-uncle-ray-tryin-to-muscle-my.html	2005-04-01T00:02:00.000-08:00
Fuck tha klown biz!	http://charleysmuckles.blogspot.com/2005/04/fuck-tha-klown-biz.html	2005-02-27T22:41:00.000-08:00
Got to rethink tha jobb prospektzz	http://charleysmuckles.blogspot.com/2005/02/got-to-rethink-tha-jobb-prospektzz.html	2005-02-20T20:05:00.000-08:00
Thinkin&#39; &#39;bout mah jobbz prospect	http://charleysmuckles.blogspot.com/2005/02/thinkin-bout-mah-jobbz-prospect.html	2005-02-03T18:19:00.000-08:00
WELCOME TO RETARD MANSION	http://charleysmuckles.blogspot.com/2005/02/welcome-to-retard-mansion.html	2005-01-24T01:13:00.000-08:00
Whatzz a boy 2 due	http://charleysmuckles.blogspot.com/2005/01/whatzz-boy-2-due.html	2005-01-16T18:08:00.000-08:00
I smelled kumar&#39;s dad&#39;s poop, all!	http://charleysmuckles.blogspot.com/2005/01/i-smelled-kumars-dads-poop-all.html	2005-01-05T20:22:00.000-08:00
ode fokez suqs teh kw0k	http://charleysmuckles.blogspot.com/2005/01/ode-fokez-suqs-teh-kw0k.html	2004-12-20T06:10:00.000-08:00
Tha Merchant Marines blew, yo	http://charleysmuckles.blogspot.com/2004/12/tha-merchant-marines-blew-yo.html	2004-12-13T04:26:00.000-08:00
Merchant Marine, y&#39;alls!	http://charleysmuckles.blogspot.com/2004/12/merchant-marine-yalls.html	2004-12-03T03:48:00.000-08:00
I want to work on a ship!	http://charleysmuckles.blogspot.com/2004/12/i-want-to-work-on-ship.html	2004-11-19T02:17:00.000-08:00
Uncle Ray got peen!	http://charleysmuckles.blogspot.com/2004/11/uncle-ray-got-peen.html	2004-11-06T15:24:00.000-08:00
School food is crass	http://charleysmuckles.blogspot.com/2004/11/school-food-is-crass.html	2004-11-02T20:54:00.000-08:00
Blump tha Vote	http://charleysmuckles.blogspot.com/2004/11/blump-tha-vote.html	2004-10-24T23:19:00.001-07:00
I saw Uncle Ray straight-up cryin&#39;!	http://charleysmuckles.blogspot.com/2004/10/i-saw-uncle-ray-straight-up-cryin_24.html	2004-10-23T01:45:00.000-07:00
mistah H is a straight-up tinytime hoe	http://charleysmuckles.blogspot.com/2004/10/mistah-h-is-straight-up-tinytime-hoe.html	2004-10-19T16:07:00.000-07:00
Where I been, y&#39;all? 	http://charleysmuckles.blogspot.com/2004/10/where-i-been-yall.html	2004-10-04T01:12:00.000-07:00
fuck that azn gangsta wannabe!	http://charleysmuckles.blogspot.com/2004/10/fuck-that-azn-gangsta-wannabe.html	2004-09-26T23:00:00.000-07:00
damn, beef!	http://charleysmuckles.blogspot.com/2004/09/damn-beef.html	2004-09-13T15:45:00.000-07:00
kid klink	http://charleysmuckles.blogspot.com/2004/09/kid-klink.html	2004-09-07T03:12:00.000-07:00
tanglin&#39; with a korean dude	http://charleysmuckles.blogspot.com/2004/09/tanglin-with-korean-dude.html	2004-08-29T14:09:00.000-07:00
sup sup Miz Gerry	http://charleysmuckles.blogspot.com/2004/08/sup-sup-miz-gerry.html	2004-08-27T15:16:00.000-07:00
screw those fools	http://charleysmuckles.blogspot.com/2004/08/screw-those-fools.html	2004-08-23T20:26:00.000-07:00
leapfrog is hell of a cock, yo!	http://charleysmuckles.blogspot.com/2004/08/leapfrog-is-hell-of-cock-yo.html	2004-08-18T18:03:00.000-07:00
tha buxxmaker	http://charleysmuckles.blogspot.com/2004/08/tha-buxxmaker.html	2004-08-17T00:50:00.000-07:00
webMastah&#39;	http://charleysmuckles.blogspot.com/2004/08/webmastah.html	2004-08-16T02:15:00.000-07:00
Nasty!	http://charleysmuckles.blogspot.com/2004/08/nasty.html	2004-08-11T16:06:00.000-07:00
Squeeze squeezes	http://charleysmuckles.blogspot.com/2004/08/squeeze-squeezes.html	2004-08-09T21:14:00.000-07:00
jackasses!	http://charleysmuckles.blogspot.com/2004/08/jackasses.html	2004-08-05T15:27:00.000-07:00
school eats tha wad	http://charleysmuckles.blogspot.com/2004/08/school-eats-tha-wad.html	2004-08-02T13:57:00.000-07:00
sick!	http://charleysmuckles.blogspot.com/2004/08/sick.html	2004-07-30T14:28:00.000-07:00
ditchin&#39; this place	http://charleysmuckles.blogspot.com/2004/07/ditchin-this-place.html	2004-07-26T22:28:00.000-07:00
Blackberry got tha golden shower	http://charleysmuckles.blogspot.com/2004/07/blackberry-got-tha-golden-shower.html	2004-07-25T16:15:00.000-07:00
Campin&#39; wit da H.O.O.L.I.E.S.	http://charleysmuckles.blogspot.com/2004/07/campin-wit-da-hoolies.html	2004-07-23T15:51:00.000-07:00
Hoolie Farm	http://charleysmuckles.blogspot.com/2004/07/hoolie-farm.html	2004-07-21T12:32:00.000-07:00
Jelly Dildoe!	http://charleysmuckles.blogspot.com/2004/07/jelly-dildoe.html	2004-07-20T02:54:00.000-07:00
Hella salty chips!	http://charleysmuckles.blogspot.com/2004/07/hella-salty-chips.html	2004-07-19T13:40:00.000-07:00
Tha Dribbla&#39;!	http://charleysmuckles.blogspot.com/2004/07/tha-dribbla.html	2004-07-17T03:01:00.000-07:00
Uncle Ray got FOOLISH ingredients in the fridge!!	http://charleysmuckles.blogspot.com/2004/07/uncle-ray-got-foolish-ingredients-in.html	
